label,data
anger,brother provok anger it wa when mother and father were awai and we had to look after ourselv he accus me of be selfish and a snob
anger,when i wa charm by my rel
anger,when i receiv the mark well abov requir for the cours i want to enter yet i wa not accept anger at the injustic of it becaus i didn t receiv earli releas of h s c mark
anger,i felt angri when i heard that my sister had fail the examin which we hope she wa go to pass with distinct
anger,i felt angri when i wa told that i had not been select to go to the univers
anger,follow an argument with my brother he broke my golf club
anger,i wa veri angri when i heard that my brother wa beaten by hi friend
anger,find that a subordin at work wa still not will to cooper after discuss to try and resolv an attitud problem
anger,last night find that someon in the hous had eaten an entir packet of almond i had bought for a famili treat
disgust,when i wa still a child i saw a horror film on tv in which there wa a rotten human skull
disgust,i have experienc disgust with some peopl usual doubl dealer
disgust,when we complain about the uncleanli of the work place the author agre to have the place clean even after dai noth had been done i felt disgust at the whole situat
disgust,wa confront with a person have neg thought of other peopl becaus of their social statu belief color and outlook on life perspect
disgust,when i see that the toilet is unclean
disgust,father said if you ar pregnant you will have to procur abort i wa fill with disgust against my father
disgust,in broad daylight i saw an untidi old man piss and plai with hi peni in the middl of the town
disgust,i happen to see two boi fight on of them fell down and hurt hi head the other on us thi to spank the head of the boi on the ground
disgust,when my friend got veri low mark in field work even though he had work throughout the year i had thi feel
disgust,i and my friend got acquaint with a gui from sofia who turn out to be gai but we found that out onli after or dai
disgust,a gigant spider climb over my face and what is more in my own flat
disgust,heard someon boast hi fortun tell and i knew he wa ly
disgust,in a public swim hall i saw a veri aggress man who practic attack the children who got in hi wai when he wa swim
disgust,neg statement concern me of a friend befor stranger
disgust,can t rememb ani such feel now
disgust,in punjab when in the name of religion peopl kill each other dure the agit
disgust,when i had to plung in a swamp of fetid and stagnant water
disgust,some student whose english is wors than mine can go to your lectur english lectur
disgust,student on campu were unnecessarili creat troubl just to heckl the author not to achiev someth concret but to further their own interest
disgust,i watch the new at the tv it wa a commentari about hainburg i felt disgust when i heard member of the union speak about the situat
disgust,i felt disgust when i kiss a gui that i know i wa on the out with my boyfriend and thi person appear but he ha noth to do with me
disgust,no respons
disgust,when peopl manipul other through appear better than what thei realli ar
disgust,in the morn the cat of my landladi had vomit on the floor near the staircas i take to go to the bathroom
disgust,outsid a night club a grown man wa sit on top of a younger woman beat her up
disgust,never experienc
disgust,saw someon act in a fals manner in public
disgust,when i met my boyfriend with anoth girl
disgust,about my girlfriend s sister who is a viper as i discov some time ago
disgust,i met a certain ladi at the bu depot who wa us a bad languag but wa a veri smart look ladi
disgust,when somebodi despis a friend of mine
disgust,when i could not attend the colleg picnic due to some difficulti
disgust,yesterdai i wa just about to cross the road when a countri gui who wa ahead of me spat out a mouth of betel juic on the road it wa veri windi and had i not check my speed i would have had a veri good shower of hi saliva though i wa not angri i felt that these peopl were veri indec
disgust,onc when i wa studi for my examin i wa ask to do some work which wa unavoid
disgust,a drunk man attack hi wife and want to humili her by insult her then he turn violent and start to beat her in front of her child she left it happen without sai a word in order not to make thing wors i watch the scene and tri to calm the man but without success just becaus he wa stronger we had to compli from that dai i detest him
disgust,quarrel with my father when he made fals assert
disgust,when i wa younger i often saw my father come home drunk he had big problem at that time onc he woke me up in the middl of the night and shout at me
disgust,when a boi i hate most in our classroom took my t jersei from my desk and put it on
disgust,when i saw the film memori of prison i saw a scene of masturb of a man in the hold of a ship apart form fact that the film wasn t pleasant i had a leg of coconut candi in my hand
disgust,saw a mate bribe the leader
disgust,onc again my life partner came back home drunk at midnight
disgust,i felt disgust when i realiz that i had eaten someth fatti and vomit too much
disgust,the carter refus to give me sugar to add to my tea sai that there wa no sugar whilst it wa there so i left the cafe disgust without take the tea
disgust,a friend wa assault by a young man on her wai home
disgust,i felt disgust when i saw a dead anim on the roadwai
disgust,to see damag lettuc with worm in the icebox
disgust,when i need anoth job and tought that a good and known person my employ could help me he simpli said that he couldn t help me
disgust,i read a book about the situat in south africa about the terribl violat of human right i wa disgust with the white popul
disgust,on dai when i wa twelv year old my brother took some slimi substanc swim on the surfac of a pot of vinegar made of cider and threaten to throw it at me
disgust,i felt disgust about all my friend after have done a great effort to organ an even togeth and didn t work out thei put the blame on me after thi i feel disgust toward those that blame me
disgust,dure a footbal game anoth player who wa perspir veri strongli ran into me
disgust,at school i detest the spinach gruel which had lump of flour in it
disgust,get into a crowd bu
disgust,after my when i did not get admiss in b e i felt disgust
disgust,i wa return from the universt at night when i wa accost by a boi who molest me pass hi hand on my bodi
disgust,i saw a physic handicap young man whose spittl ran out of hi mouth while speak
disgust,the same event describ under fear in the bu a man sat besid me with hi trouser open and hold hi peni
disgust,see person spend monei in a shop center with complet indiffer to the miseri reign in our countri
disgust,on dai at an import place i met a group of girl and while we were wait for a bu these girl start smoke and command me to smoke i felt veri disgust
disgust,a boi in my class talk too loud in the lectur
